section,date,keyword,group,interest_score,region,query_type,related_term,related_value,suggestion_type
interest_over_time,2025-05-04,Kjeldsens butter cookies,American Ginseng,,,,,,
interest_over_time,2025-05-04,Loacker wafer hazelnut,American Ginseng,,,,,,
interest_over_time,2025-05-04,Mexican egg rolls,American Ginseng,,,,,,
interest_over_time,2025-05-04,Loacker dark hazelnut,American Ginseng,,,,,,
interest_over_time,2025-05-04,Loacker cappuccino,American Ginseng,,,,,,
interest_over_time,2025-05-04,Loacker white coconut,American Ginseng,,,,,,
interest_over_time,2025-05-04,Loacker orange chocolate,American Ginseng,,,,,,
interest_over_time,2025-05-04,Loacker Gran Pasticceria,American Ginseng,,,,,,
interest_over_time,2025-05-04,Mazola corn oil,American Ginseng,,,,,,
interest_over_time,2025-05-04,Totole chicken bouillon,American Ginseng,,,,,,
interest_over_time,2025-05-04,Kwan Loong oil,American Ginseng,,,,,,
interest_over_time,2025-05-04,Tiger Balm,American Ginseng,,,,,,
interest_over_time,2025-05-04,Tiger Balm patch,American Ginseng,,,,,,
interest_over_time,2025-05-04,Prince of Peace green tea,American Ginseng,,,,,,
interest_over_time,2025-05-04,Prince of Peace jasmine tea,American Ginseng,,,,,,
interest_over_time,2025-05-04,Prince of Peace oolong tea,American Ginseng,,,,,,
interest_over_time,2025-05-04,Prince of Peace white tea,American Ginseng,,,,,,
interest_over_time,2025-05-04,blood pressure herbal tea,American Ginseng,,,,,,
interest_over_time,2025-05-04,blood pressure herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-05-04,blood sugar herbal tea,American Ginseng,,,,,,
interest_over_time,2025-05-04,cholesterol herbal supplement,American Ginseng,,,,,,
interest_over_time,2025-05-04,ginseng blood pressure,American Ginseng,,,,,,
interest_over_time,2025-05-04,herbal health tea Asian,American Ginseng,,,,,,
interest_over_time,2025-05-11,American ginseng root,American Ginseng,0.0,,,,,
interest_over_time,2025-05-11,American ginseng slices,American Ginseng,0.0,,,,,
interest_over_time,2025-05-11,ginseng instant tea,American Ginseng,0.0,,,,,
